street_name,class
Ponte do Rio Jacuí,Personalidade Histórica
Avenida Farrapos,Coisa
Rodovia General Bento Gonçalves,Exército
Anel Viário UFRGS Campus do Vale,Personalidade Histórica
Avenida Bento Gonçalves,Nome de Cidade/UF
Avenida Antônio de Carvalho,Personalidade Histórica
Avenida Cubanos,Coisa
Estrada João de Oliveira Remião,Personalidade Histórica
Rua Antônio Maranguello,Personalidade Histórica
Avenida Senador Salgado Filho,Personalidade Histórica
Avenida João Pessoa,Personalidade Histórica
Avenida da Azenha,Personalidade Histórica
Avenida Osvaldo Aranha,Personalidade Histórica
Avenida Neusa Goulart Brizola,Personalidade Histórica
Rua São Manoel,Figura Religiosa
Avenida Coronel Lucas de Oliveira,Exército
Avenida Ijuí,Nome de Cidade/UF
Rua Carazinho,Nome de Cidade/UF
Avenida Nilópolis,Coisa
Avenida Doutor Nilo Peçanha,Profissão
Avenida Goethe,Coisa
Rua Mariante,Coisa
Avenida Paraná,Nome de Cidade/UF
Rua Siqueira Campos,Personalidade Histórica
Avenida Pinheiro Borda,Personalidade Histórica
Avenida Padre Cacique,Figura Religiosa
Avenida Praia de Belas,Personalidade Histórica
Viaduto Dom Pedro I,Personalidade Histórica
Avenida Borges de Medeiros,Personalidade Histórica
Rua 7 de Setembro,Feriado
Rua Riachuelo,Coisa
Rua Duque de Caxias,Personalidade Histórica
Rua General Lima e Silva,Exército
Rua Demétrio Ribeiro,Personalidade Histórica
Rua General Vasco Alves,Exército
Rua General Bento Martins,Exército
Rua General Portinho,Exército
Rua José Montaury,Personalidade Histórica
Rua Professora Zilah Totta,Profissão
Rua Veador Porto,Personalidade Histórica
Avenida Tramandaí,Nome de Cidade/UF
Avenida Benjamin Constant,Personalidade Histórica
Avenida Assis Brasil,Personalidade Histórica
Avenida Sertório,Coisa
Avenida Otávio Rocha,Personalidade Histórica
Avenida Presidente Castello Branco,Exército
Elevada da Conceição,Personalidade Histórica
Largo Vespasiano Júlio Veppo,Personalidade Histórica
Largo Edgar Koetz,Personalidade Histórica
Rua Doutor Júlio Olszewski,Profissão
Rua João Moreira Maciel,Personalidade Histórica
Rua Dona Teodora,Personalidade Histórica
Rua Voluntários da Pátria,Personalidade Histórica
Rua General Canabarro,Exército
Rua General Cypriano Ferreira,Exército
Rua General João Manoel,Exército
Rua General Auto,Exército
Praça Marechal Deodoro,Exército
Rua General Câmara,Exército
Rua General Andrade Neves,Exército
Escadarias,Coisa
Rua Engenheiro Luiz Englert,Profissão
Avenida Paulo Gama,Personalidade Histórica
Rua Sarmento Leite,Personalidade Histórica
Rua Antônio Carlos Guimarães,Personalidade Histórica
Rua da Conceição,Personalidade Histórica
Praça Dom Feliciano,Nome de Cidade/UF
Rua Professor Annes Dias,Profissão
Rua General Zenóbio da Costa,Exército
Rua Irmão José Otão,Personalidade Histórica
Túnel da Conceição,Personalidade Histórica
